Plant Name,Scientific Name,Light Requirements,Watering Frequency,Maintenance Level,Growth Rate,Preferred Climate,Plant Size,Allergy Concerns,Aesthetic Preference,Purpose,Room Temperature,Humidity Level,Description,Image Path
Aloe Vera,Aloe barbadensis miller,High,Monthly,Low,Slow,Arid,Small,No,Classic,Edible,Moderate,Low,"A succulent plant known for its healing gel, often used in skincare.",images/plants/aloe_vera.jpg
Jade Plant,Crassula ovata,High,Bi-weekly,Low,Slow,Arid,Medium,No,Minimalist,Decorative,Warm,Low,"A succulent with thick, fleshy leaves, it’s believed to bring good luck.",images/plants/jade_plant.jpg
Burro's Tail,Sedum morganianum,High,Monthly,Low,Slow,Arid,Small,No,Unique,Decorative,Warm,Low,"A trailing succulent with unique, blue-green leaves that resemble a donkey's tail.",images/plants/burros_tail.jpg
String of Pearls,Senecio rowleyanus,High,Monthly,Low,Medium,Arid,Small,No,Unique,Decorative,Warm,Low,"A stunning succulent with small, spherical beads resembling pearls.",images/plants/string_of_pearls.jpg
Zebra Plant,Haworthiopsis fasciata,High,Monthly,Low,Slow,Arid,Small,No,Unique,Decorative,Warm,Low,A small succulent with striking white stripes on its green leaves.,images/plants/zebra_plant.jpg
Echeveria,Echeveria spp.,High,Monthly,Low,Medium,Arid,Small,No,Unique,Decorative,Warm,Low,"A rosette-shaped succulent that comes in various colors, perfect for decoration.",images/plants/echeveria.jpg
Moon Cactus,Gymnocalycium mihanovichii,High,Monthly,Low,Slow,Arid,Small,No,Unique,Decorative,Warm,Low,"A colorful cactus with vibrant, often red or yellow, top grafted onto a base.",images/plants/moon_cactus.jpg
Christmas Cactus,Schlumbergera spp.,Medium,Bi-weekly,Medium,Medium,Tropical,Medium,No,Exotic,Decorative,Moderate,Medium,A festive plant known for its colorful blooms during the winter holidays.,images/plants/christmas_cactus.jpg
Crown of Thorns,Euphorbia milii,High,Monthly,Low,Medium,Arid,Small,No,Unique,Decorative,Warm,Low,"A hardy, flowering succulent with colorful bracts and thorny stems.",images/plants/crown_of_thorns.jpg
Panda Plant,Kalanchoe tomentosa,High,Monthly,Low,Medium,Arid,Small,No,Unique,Decorative,Warm,Low,"A small succulent with soft, fuzzy leaves that look like panda ears.",images/plants/panda_plant.jpg
Anthurium,Anthurium andraeanum,Medium,Weekly,Medium,Medium,Tropical,Medium,Yes,Classic,Decorative,Moderate,High,Known for its glossy red or pink spathes and long-lasting blooms.,images/plants/anthurium.jpg
Desert Rose,Adenium obesum,High,Monthly,Low,Medium,Arid,Medium,No,Exotic,Decorative,Warm,Low,"A succulent shrub with striking flowers and a thick, swollen base.",images/plants/desert_rose.jpg
Dendrobium,Dendrobium spp.,Medium,Weekly,Medium,Medium,Tropical,Medium,Yes,Exotic,Decorative,Moderate,High,"A type of orchid with delicate, colorful blooms in various shades.",images/plants/dendrobium.jpg
Money Plant,Epipremnum aureum,Low,Weekly,Low,Fast,Tropical,Medium,No,Lush,Air Purification,Moderate,Medium,"Also known as pothos, it's a plant associated with wealth and prosperity.",images/plants/money_plant.jpg
Lipstick Plant,Aeschynanthus radicans,Medium,Weekly,Medium,Medium,Tropical,Medium,No,Exotic,Decorative,Moderate,High,"A striking plant with tubular red flowers, resembling lipstick.",images/plants/lipstick_plant.jpg
Dracena,Dracaena spp.,Medium,Weekly,Medium,Medium,Tropical,Medium,No,Lush,Decorative,Moderate,Medium,"A low-maintenance, upright plant with narrow, arching leaves.",images/plants/dracaena.jpg
